ID,Date,Democrat,Republican,Mode,538 Rating,Sample Subpopulation,MoE,Sponsor,Source,Headline
32,5/16/2017,0.4,0.33,Internet,B,Registered Voters,nan,Economist,YouGov,
33,5/16/2017,0.4,0.33,Internet,B,Registered Voters,nan,Economist,YouGov,
34,5/22/2017,0.41,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult,
35,5/23/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov,
36,5/23/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov,
37,5/30/2017,0.39,0.33,Internet,B,Registered Voters,nan,Economist,YouGov,
38,6/6/2017,0.41,0.37,Internet,B,Registered Voters,nan,Economist,YouGov,
39,6/11/2017,0.5,0.4,IVR/Online,B+,Likely Voters,3.4,,Public Policy Polling (D),
40,6/13/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov,
41,6/20/2017,0.5,0.42,Live Phone,A-,Adults,3.54,NBC News,WSJ,
42,6/20/2017,0.38,0.35,Internet,B,Adults,3.1,Economist,YouGov,
43,6/25/2017,0.48,0.38,Live Phone,B-,Adults,3.2,PBS News Hour,NPR,
44,6/27/2017,0.47,0.41,Live Phone,A,Registered Voters,3,Fox News,Anderson Robbins Research and Shaw & Company Research,
45,6/27/2017,0.41,0.35,Internet,B,Adults,3.1,Economist,YouGov,
46,7/4/2017,0.37,0.35,Internet,B,Adults,4,Economist,YouGov,
47,7/13/2017,0.52,0.38,Live Phone,B,Registered Voters,3.2,ABC,Washington Post,
48,7/18/2017,0.478,0.388,Internet,,Registered Voters,,Economist,YouGov,
49,7/25/2017,0.4,0.34,Internet,B,Registered Voters,3.1,Economist,YouGov,
50,8/10/2017,0.51,0.42,Live Phone,,Registered Voters,,CNN,SSRS,
51,8/15/2017,0.48,0.396,Live Phone,A,Registered Voters,3.1,,The Marist Poll,
52,8/16/2017,0.41,0.33,Internet,B,Registered Voters,3.2,Economist,YouGov,
53,8/23/2017,0.39,0.33,Internet,B,Adults,3.2,Economist,YouGov,
54,8/23/2017,0.49,0.35,Internet,B+,Registered Voters ,3.3,,Public Policy Polling (D),
55,8/24/2017,0.45,0.38,Live Phone,B,Registered Voters,3.1,George Washington University,The Tarrance Group/Lake Research Partners,
56,8/30/2017,0.4,0.32,Internet,B,Registered Voters,3.1,Economist,YouGov,
57,9/6/2017,0.39,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov,
58,9/13/2017,0.4,0.31,Internet,B,Registered Voters,3.2,Economist,Yougov,
59,9/20/2017,0.39,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov,
60,9/21/2017,0.48,0.42,Phone,A-,Registered Voters,3.6,NBC News,WSJ,
61,9/27/2017,0.4,0.34,Internet,B,Registered Voters,,Economist,YouGov,
62,9/28/2017,0.4,0.34,Live Phone,B+,Registered Voters,3.3,,Public Policy Polling (D),
63,10/4/2017,0.39,0.32,Internet,B,Registered Voters,3.1,Economist,YouGov,
64,10/11/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov,
65,10/17/2017,0.41,0.33,Internet,B,Registered Voters,,Economist,YouGov,
66,10/25/2017,0.5,0.35,Live Phone,A,Registered Voters,3,Fox News,Anderson Robbins Research and Shaw & Company Research,
67,10/25/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov,
68,10/25/2017,0.36,0.28,Internet,A-,Registered Voters,,Reuters,Ipsos,
69,10/30/2017,0.48,0.41,Live Phone,A-,Registered Voters,3.6,NBC News,WSJ,
70,11/1/2017,0.51,0.4,Live Phone,B,Adults,3.5,ABC News,Washington Post,
71,11/1/2017,0.4,0.31,Internet,A-,Adults,2.6,Reuters,Ipsos,
72,11/1/2017,0.39,0.36,Internet,B,Registered Voters,3.1,Economist,YouGov,
73,11/7/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov,
74,11/9/2017,0.51,0.36,Live Phone,A,Registered Voters,3,,Marist,
75,11/13/2017,0.51,0.38,Live Phone,A-,Registered Voters,3,,Quinnipiac,
76,11/14/2017,0.38,0.31,Internet,A-,Adults,,,Reuters/Ipsos,
77,11/14/2017,0.42,0.34,Internet,B,Registered Voters,3.1,Economist,YouGov,
78,11/15/2017,0.43,0.4,Live Phone,A,Adults,3.1,NPR/PBS,Marist,
79,11/21/2017,0.42,0.33,Internet,B,Registered Voters,,Economist,YouGov,
80,11/22/2017,0.37,0.28,,A-,Adults,,Reuters,Ipsos,
81,11/28/2017,0.36,0.3,Internet,A-,Adults,,Reuters,Ipsos,
82,11/28/2017,0.41,0.35,Internet,B,Registered Voters,3.1,Economist,YouGov,
83,11/29/2017,0.5,0.36,Live Phone,A-,Registered Voters,3.1,,Quinnipiac,
84,12/5/2017,0.37,0.31,Internet,A-,Adults,,Reuters,Ipsos,
85,12/5/2017,0.42,0.36,Internet,B,Adults,3.4,Economist,YouGov,
86,12/7/2017,0.5,0.37,Live Phone,A,Adults,2.8,,Marist,
87,1/16/2018,0.37,0.32,Internet,A-,Adults,2.8,Reuters,Ipsos,
88,1/17/2018,0.49,0.43,Live Phone,A-,Registered Voters,3.5,NBC News,WSJ,
89,1/18/2018,0.49,0.44,Live Phone,A-,Registered Voters,3.8,,CNN,
90,1/18/2018,0.51,0.39,Live Phone,B,Registered Voters,3.5,ABC News,Washington Post,
91,1/23/2018,0.38,0.3,Live Phone,A-,Adults,2,Reuters,Ipsos,
92,1/23/2018,0.51,0.38,Live Phone,A-,Registered Voters,3.3,,Quinnipiac,
93,1/23/2018,0.41,0.37,Internet,B,Registered Voters,3.1,Economist,YouGov,
94,1/23/2018,0.44,0.38,Live Phone,A,Registered Voters,,Fox News,Anderson Robbins Research and Shaw & Company Research,
95,1/30/2018,0.47,0.45,Live Phone,A+,Adults,3.5,,Monmouth,
96,2/6/2018,0.43,0.37,Internet,B,Adults,3.3,Economist,YouGov,
97,2/6/2018,0.38,0.31,Internet,A-,Adults,2,Reuters,Ipsos,
98,2/6/2018,0.49,0.4,Live Phone,A-,Registered Voters,3.3,,Quinnipiac,
99,2/7/2018,0.49,0.38,Live Phone,,Registered Voters,4.1,,Marist,
100,3/1/2018,.3,.5,,,,,,A4,A4
102,3/5/2018,.3,.2,,,,,,A5,A5
