Date,Democrat,Republican,Mode,538 Rating,Sample Subpopulation,MoE,Sponsor,Source
6/11/2017,0.5,0.4,IVR/Online,B+,Likely Voters,3.4,,Public Policy Polling (D)
6/6/2017,0.41,0.37,Internet,B,Registered Voters,nan,Economist,YouGov
5/30/2017,0.39,0.33,Internet,B,Registered Voters,nan,Economist,YouGov
5/23/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov
5/23/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov
5/22/2017,0.41,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult
5/16/2017,0.4,0.33,Internet,B,Registered Voters,nan,Economist,YouGov
5/16/2017,0.4,0.33,Internet,B,Registered Voters,nan,Economist,YouGov
5/14/2017,0.49,0.38,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D)
5/14/2017,0.42,0.35,Internet,-,Registered Voters,2,Politico,Morning Consult
5/14/2017,0.42,0.35,Internet,-,Registered Voters,2,Politico,Morning Consult
5/14/2017,0.49,0.38,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D)
5/11/2017,0.42,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult
5/11/2017,0.42,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult
5/9/2017,0.4,0.35,Internet,B,Registered Voters,nan,Economist,YouGov
5/6/2017,0.42,0.36,Internet,-,Registered Voters,2,Politico,Morning Consult
5/2/2017,0.38,0.35,Internet,B,Adults,3.1,Economist,YouGov
4/30/2017,0.41,0.41,Internet,-,Registered Voters,2,Morning Consult,Politico
4/25/2017,0.47,0.42,Live Phone,A,Registered Voters,3,FOX News,Anderson Robbins Research/Shaw & Company Research
4/25/2017,0.39,0.34,Internet,B,Adults,3.2,Economist,YouGov
4/25/2017,0.5,0.41,Live Phone,A-,Adults,3,CNN,Opinion Research Corp
4/24/2017,0.4,0.44,Internet,-,Registered Voters,2,Morning Consult,Politico
4/20/2017,0.47,0.42,IVR/Online,B-,Registered Voters,2.4,Orlando Political Observer,Gravis Marketing
4/18/2017,0.47,0.41,IVR/Online,B+,Likely Voters,3.9,,Public Policy Polling (D)
4/18/2017,0.38,0.32,Internet,B,Adults,3.1,Economist,YouGov
4/15/2017,0.4,0.4,Internet,-,Registered Voters,2,Politico,Morning Consult
4/12/2017,0.45,0.38,Live Phone,A,Registered Voters,3.3,,McClatchy/Marist
4/11/2017,0.4,0.37,Internet,B,Adults,3.2,Economist,YouGov
4/9/2017,0.43,0.4,Internet,-,Registered Voters,2,Politico,Morning Consult
4/1/2017,0.41,0.39,Internet,-,Registered Voters,2,Politico,Morning Consult
3/28/2017,0.48,0.43,IVR/Online,B+,Likely Voters,3.8,,Public Policy Polling (D)
3/27/2017,0.47,0.38,Live Phone,A,Registered Voters,3.3,,McClatchy/Marist
3/12/2017,0.46,0.41,IVR/Online,B+,Likely Voters,3.4,,Public Policy Polling (D)
2/22/2017,0.46,0.43,IVR/Online,B+,Likely Voters,3.2,,Public Policy Polling (D)
2/8/2017,0.49,0.41,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D)
1/31/2017,0.45,0.42,IVR/Online,B+,Likely Voters,3.6,,Public Policy Polling (D)
1/24/2017,0.48,0.4,IVR/Online,B+,Likely Voters,3,,Public Policy Polling (D)
1/30/2016,0.37,0.31,Internet,A-,Adults,2.6,Reuters,Ipsos
1/30/2016,0.42,0.37,Internet,B,Registered Voters,3,Economist,YouGov
